2025-06-07 23:56:20 status half-configured gcc-12-base:amd64 12.2.0-14+deb12u1
2025-06-07 23:56:20 status installed gcc-12-base:amd64 12.2.0-14+deb12u1
2025-06-07 23:56:20 configure tzdata:all 2025b-0+deb12u1 <none>
2025-06-07 23:56:20 status unpacked tzdata:all 2025b-0+deb12u1
2025-06-07 23:56:20 status half-configured tzdata:all 2025b-0+deb12u1
2025-06-07 23:56:20 status installed tzdata:all 2025b-0+deb12u1
2025-06-07 23:56:20 configure ncurses-base:all 6.4-4 <none>
2025-06-07 23:56:20 status unpacked ncurses-base:all 6.4-4
2025-06-07 23:56:20 status half-configured ncurses-base:all 6.4-4
2025-06-07 23:56:20 status installed ncurses-base:all 6.4-4
2025-06-07 23:56:20 configure init-system-helpers:all 1.65.2 <none>
2025-06-07 23:56:20 status unpacked init-system-helpers:all 1.65.2
2025-06-07 23:56:20 status half-configured init-system-helpers:all 1.65.2
2025-06-07 23:56:20 status installed init-system-helpers:all 1.65.2
2025-06-07 23:56:20 configure libgcc-s1:amd64 12.2.0-14+deb12u1 <none>
2025-06-07 23:56:20 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-06-07 23:56:20 status half-configured libgcc-s1:amd64 12.2.0-14+deb12u1
2025-06-07 23:56:20 status installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-06-07 23:56:20 configure libc6:amd64 2.36-9+deb12u10 <none>
2025-06-07 23:56:20 status unpacked libc6:amd64 2.36-9+deb12u10
